"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Side","Deck"
"No","3","male",22,1,0,7.25,"Southampton","Mr",NA,NA
"Yes","1","female",38,1,0,71.2833,"Cherbourg","Mrs","Steuerbord","C"
"Yes","3","female",26,0,0,7.925,"Southampton","Miss",NA,NA
"Yes","1","female",35,1,0,53.1,"Southampton","Mrs","Steuerbord","C"
"No","3","male",35,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.4583,"Queenstown","Mr",NA,NA
"No","1","male",54,0,0,51.8625,"Southampton","Mr","Backbord","E"
"No","3","male",2,3,1,21.075,"Southampton","Master",NA,NA
"Yes","3","female",27,0,2,11.1333,"Southampton","Mrs",NA,NA
"Yes","2","female",14,1,0,30.0708,"Cherbourg","Mrs",NA,NA
"Yes","3","female",4,1,1,16.7,"Southampton","Miss","Backbord","G"
"Yes","1","female",58,0,0,26.55,"Southampton","Miss","Steuerbord","C"
"No","3","male",20,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",39,1,5,31.275,"Southampton","Mr",NA,NA
"No","3","female",14,0,0,7.8542,"Southampton","Miss",NA,NA
"Yes","2","female",55,0,0,16,"Southampton","Mrs",NA,NA
"No","3","male",2,4,1,29.125,"Queenstown","Master",NA,NA
"Yes","2","male",30,0,0,13,"Southampton","Mr",NA,NA
"No","3","female",31,1,0,18,"Southampton","Mrs",NA,NA
"Yes","3","female",35,0,0,7.225,"Cherbourg","Mrs",NA,NA
"No","2","male",35,0,0,26,"Southampton","Mr",NA,NA
"Yes","2","male",34,0,0,13,"Southampton","Mr","Backbord","D"
"Yes","3","female",15,0,0,8.0292,"Queenstown","Miss",NA,NA
"Yes","1","male",28,0,0,35.5,"Southampton","Mr","Backbord","A"
"No","3","female",8,3,1,21.075,"Southampton","Miss",NA,NA
"Yes","3","female",38,1,5,31.3875,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"No","1","male",19,3,2,263,"Southampton","Mr","Steuerbord","C"
"Yes","3","female",21,0,0,7.8792,"Queenstown","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","1","male",40,0,0,27.7208,"Cherbourg","Don",NA,NA
"Yes","1","female",35,1,0,146.5208,"Cherbourg","Mrs","Backbord","B"
"Yes","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"No","2","male",66,0,0,10.5,"Southampton","Mr",NA,NA
"No","1","male",28,1,0,82.1708,"Cherbourg","Mr",NA,NA
"No","1","male",42,1,0,52,"Southampton","Mr",NA,NA
"Yes","3","male",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"No","3","male",21,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","female",18,2,0,18,"Southampton","Miss",NA,NA
"Yes","3","female",14,1,0,11.2417,"Cherbourg","Miss",NA,NA
"No","3","female",40,1,0,9.475,"Southampton","Mrs",NA,NA
"No","2","female",27,1,0,21,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"Cherbourg","Mr",NA,NA
"Yes","2","female",3,1,2,41.5792,"Cherbourg","Miss",NA,NA
"Yes","3","female",19,0,0,7.8792,"Queenstown","Miss",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",30,1,0,15.5,"Queenstown","Mr",NA,NA
"Yes","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"No","3","male",30,2,0,21.6792,"Cherbourg","Mr",NA,NA
"No","3","female",18,1,0,17.8,"Southampton","Mrs",NA,NA
"No","3","male",7,4,1,39.6875,"Southampton","Master",NA,NA
"No","3","male",21,0,0,7.8,"Southampton","Mr",NA,NA
"Yes","1","female",49,1,0,76.7292,"Cherbourg","Mrs","Steuerbord","D"
"Yes","2","female",29,1,0,26,"Southampton","Mrs",NA,NA
"No","1","male",65,0,1,61.9792,"Cherbourg","Mr","Backbord","B"
"Yes","1","male",30,0,0,35.5,"Southampton","Mr","Backbord","C"
"Yes","2","female",21,0,0,10.5,"Southampton","Miss",NA,NA
"No","3","male",28.5,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Yes","2","female",5,1,2,27.75,"Southampton","Miss",NA,NA
"No","3","male",11,5,2,46.9,"Southampton","Master",NA,NA
"No","3","male",22,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Yes","1","female",38,0,0,80,NA,"Miss","Backbord","B"
"No","1","male",45,1,0,83.475,"Southampton","Mr","Steuerbord","C"
"No","3","male",4,3,2,27.9,"Southampton","Master",NA,NA
"No","1","male",30,0,0,27.7208,"Cherbourg","Mr",NA,NA
